experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
0,50,5000,10,500000000.0,1e-08,1e-08,0.023788113525560508,1.0,7.0,2.0,1.0,7.0,2.0,0.0,8.0,2.0,0.0,10.0,0.0,0.0,8.0,2.0
0,50,20000,10,500000000.0,1e-08,1e-08,0.023788113525560508,0.0,9.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
0,50,50000,10,500000000.0,1e-08,1e-08,0.023788113525560508,1.0,6.0,3.0,1.0,6.0,3.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
1,50,5000,10,500000000.0,1e-08,1e-08,0.022587812553387272,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
1,50,20000,10,500000000.0,1e-08,1e-08,0.022587812553387272,1.0,7.0,2.0,1.0,6.0,3.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
1,50,50000,10,500000000.0,1e-08,1e-08,0.022587812553387272,2.0,5.0,3.0,2.0,4.0,4.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
2,50,5000,10,500000000.0,1e-08,1e-08,0.023961682448658164,1.0,9.0,0.0,2.0,8.0,0.0,1.0,9.0,0.0,0.0,10.0,0.0,1.0,9.0,0.0
2,50,20000,10,500000000.0,1e-08,1e-08,0.023961682448658164,1.0,8.0,1.0,1.0,8.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
2,50,50000,10,500000000.0,1e-08,1e-08,0.023961682448658164,5.0,4.0,1.0,5.0,4.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
3,50,5000,10,500000000.0,1e-08,1e-08,0.02443454931845333,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
3,50,20000,10,500000000.0,1e-08,1e-08,0.02443454931845333,0.0,9.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
3,50,50000,10,500000000.0,1e-08,1e-08,0.02443454931845333,1.0,8.0,1.0,1.0,8.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
4,50,5000,10,500000000.0,1e-08,1e-08,0.023458863315091318,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
4,50,20000,10,500000000.0,1e-08,1e-08,0.023458863315091318,0.0,7.0,3.0,0.0,7.0,3.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,9.0,1.0
4,50,50000,10,500000000.0,1e-08,1e-08,0.023458863315091318,0.0,6.0,4.0,0.0,6.0,4.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,9.0,1.0
5,50,5000,10,500000000.0,1e-08,1e-08,0.02337177434033873,1.0,8.0,1.0,1.0,8.0,1.0,1.0,9.0,0.0,1.0,9.0,0.0,1.0,8.0,1.0
5,50,20000,10,500000000.0,1e-08,1e-08,0.02337177434033873,1.0,7.0,2.0,1.0,7.0,2.0,1.0,8.0,1.0,0.0,10.0,0.0,1.0,8.0,1.0
5,50,50000,10,500000000.0,1e-08,1e-08,0.02337177434033873,1.0,7.0,2.0,1.0,8.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,1.0,9.0,0.0
6,50,5000,10,500000000.0,1e-08,1e-08,0.024788867186431224,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
6,50,20000,10,500000000.0,1e-08,1e-08,0.024788867186431224,3.0,7.0,0.0,3.0,7.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,1.0,9.0,0.0
