experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
0,50,5000,10,500000000.0,1e-08,1e-08,0.1229455126861605,0,9,1,0,9,1,0,10,0,2,5,3,2,5,3
0,50,20000,10,500000000.0,1e-08,1e-08,0.1229455126861605,0,10,0,0,10,0,0,10,0,3,7,0,4,6,0
0,50,50000,10,500000000.0,1e-08,1e-08,0.1229455126861605,0,10,0,0,10,0,0,10,0,3,6,1,3,6,1
1,50,5000,10,500000000.0,1e-08,1e-08,0.12101672777962968,0,10,0,0,10,0,0,10,0,1,6,3,1,6,3
1,50,20000,10,500000000.0,1e-08,1e-08,0.12101672777962968,0,10,0,0,10,0,0,10,0,1,8,1,1,8,1
1,50,50000,10,500000000.0,1e-08,1e-08,0.12101672777962968,2,7,1,2,7,1,1,9,0,3,6,1,3,6,1
2,50,5000,10,500000000.0,1e-08,1e-08,0.1203227394178034,0,10,0,0,10,0,0,10,0,4,2,4,4,3,3
2,50,20000,10,500000000.0,1e-08,1e-08,0.1203227394178034,0,10,0,0,10,0,0,10,0,2,6,2,2,6,2
2,50,50000,10,500000000.0,1e-08,1e-08,0.1203227394178034,1,8,1,1,8,1,0,10,0,1,9,0,1,9,0
3,50,5000,10,500000000.0,1e-08,1e-08,0.12203657299103751,0,10,0,0,10,0,0,10,0,2,6,2,2,6,2
3,50,20000,10,500000000.0,1e-08,1e-08,0.12203657299103751,2,8,0,2,8,0,1,9,0,4,6,0,4,6,0
3,50,50000,10,500000000.0,1e-08,1e-08,0.12203657299103751,0,9,1,0,9,1,0,10,0,1,9,0,1,9,0
4,50,5000,10,500000000.0,1e-08,1e-08,0.1194409594429352,0,9,1,0,9,1,0,9,1,2,4,4,2,4,4
4,50,20000,10,500000000.0,1e-08,1e-08,0.1194409594429352,0,10,0,0,10,0,0,10,0,1,8,1,1,8,1
4,50,50000,10,500000000.0,1e-08,1e-08,0.1194409594429352,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
5,50,5000,10,500000000.0,1e-08,1e-08,0.11974385096340989,0,10,0,0,10,0,0,10,0,2,2,6,2,2,6
5,50,20000,10,500000000.0,1e-08,1e-08,0.11974385096340989,0,10,0,0,10,0,0,10,0,3,5,2,3,5,2
5,50,50000,10,500000000.0,1e-08,1e-08,0.11974385096340989,1,9,0,1,9,0,0,10,0,3,5,2,3,5,2
6,50,5000,10,500000000.0,1e-08,1e-08,0.12107284796186224,0,10,0,0,10,0,0,10,0,1,6,3,1,6,3
6,50,20000,10,500000000.0,1e-08,1e-08,0.12107284796186224,0,10,0,0,10,0,0,10,0,3,6,1,3,6,1
6,50,50000,10,500000000.0,1e-08,1e-08,0.12107284796186224,0,8,2,0,8,2,0,9,1,0,9,1,0,9,1
7,50,5000,10,500000000.0,1e-08,1e-08,0.12019481888650546,0,10,0,0,10,0,0,10,0,1,6,3,1,7,2
7,50,20000,10,500000000.0,1e-08,1e-08,0.12019481888650546,1,7,2,1,7,2,0,9,1,2,5,3,2,5,3
7,50,50000,10,500000000.0,1e-08,1e-08,0.12019481888650546,0,9,1,0,9,1,0,10,0,0,9,1,0,9,1
8,50,5000,10,500000000.0,1e-08,1e-08,0.12189154912451362,0,9,1,0,9,1,0,9,1,1,4,5,1,4,5
8,50,20000,10,500000000.0,1e-08,1e-08,0.12189154912451362,2,8,0,2,8,0,0,10,0,3,7,0,3,7,0
8,50,50000,10,500000000.0,1e-08,1e-08,0.12189154912451362,0,9,1,0,9,1,0,10,0,2,5,3,2,5,3
9,50,5000,10,500000000.0,1e-08,1e-08,0.11948312404998382,1,9,0,1,9,0,0,10,0,5,4,1,5,4,1
9,50,20000,10,500000000.0,1e-08,1e-08,0.11948312404998382,0,8,2,0,8,2,0,9,1,2,5,3,2,5,3
9,50,50000,10,500000000.0,1e-08,1e-08,0.11948312404998382,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
10,50,5000,10,500000000.0,1e-08,1e-08,0.12171615884338957,1,9,0,1,9,0,1,9,0,2,5,3,2,5,3
10,50,20000,10,500000000.0,1e-08,1e-08,0.12171615884338957,0,9,1,0,9,1,0,9,1,0,7,3,1,6,3
10,50,50000,10,500000000.0,1e-08,1e-08,0.12171615884338957,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
