experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
0,50,5000,10,500000000.0,1e-08,1e-08,0.1228094281881319,0,10,0,0,10,0,0,10,0,2,3,5,2,3,5
0,50,20000,10,500000000.0,1e-08,1e-08,0.1228094281881319,0,10,0,0,10,0,0,10,0,4,5,1,5,2,3
0,50,50000,10,500000000.0,1e-08,1e-08,0.1228094281881319,0,10,0,0,10,0,0,10,0,5,4,1,5,3,2
1,50,5000,10,500000000.0,1e-08,1e-08,0.12110434477519373,0,10,0,0,10,0,0,10,0,4,3,3,4,3,3
1,50,20000,10,500000000.0,1e-08,1e-08,0.12110434477519373,0,9,1,0,9,1,0,10,0,3,5,2,4,4,2
1,50,50000,10,500000000.0,1e-08,1e-08,0.12110434477519373,1,9,0,1,9,0,1,9,0,3,6,1,3,6,1
2,50,5000,10,500000000.0,1e-08,1e-08,0.12046565345796166,0,10,0,0,10,0,0,10,0,5,2,3,5,1,4
2,50,20000,10,500000000.0,1e-08,1e-08,0.12046565345796166,0,10,0,0,10,0,0,10,0,4,3,3,5,2,3
2,50,50000,10,500000000.0,1e-08,1e-08,0.12046565345796166,0,10,0,0,10,0,0,10,0,2,6,2,4,4,2
3,50,5000,10,500000000.0,1e-08,1e-08,0.12207617704948479,0,10,0,0,10,0,0,10,0,2,5,3,2,5,3
3,50,20000,10,500000000.0,1e-08,1e-08,0.12207617704948479,1,9,0,1,9,0,0,10,0,5,4,1,5,4,1
3,50,50000,10,500000000.0,1e-08,1e-08,0.12207617704948479,0,10,0,0,10,0,0,10,0,2,6,2,2,5,3
4,50,5000,10,500000000.0,1e-08,1e-08,0.11956384053615957,0,9,1,0,10,0,0,10,0,2,2,6,2,2,6
4,50,20000,10,500000000.0,1e-08,1e-08,0.11956384053615957,0,10,0,0,10,0,0,10,0,1,6,3,2,3,5
4,50,50000,10,500000000.0,1e-08,1e-08,0.11956384053615957,0,10,0,0,10,0,0,10,0,0,8,2,2,5,3
5,50,5000,10,500000000.0,1e-08,1e-08,0.11985184386483336,0,10,0,0,10,0,0,10,0,2,3,5,2,3,5
5,50,20000,10,500000000.0,1e-08,1e-08,0.11985184386483336,0,10,0,0,10,0,0,10,0,5,4,1,5,3,2
5,50,50000,10,500000000.0,1e-08,1e-08,0.11985184386483336,0,9,1,0,9,1,0,10,0,3,4,3,3,3,4
6,50,5000,10,500000000.0,1e-08,1e-08,0.12100099640684173,0,10,0,0,10,0,0,10,0,2,4,4,2,4,4
