exp_seed,experiment,tree_sequence_seed,seq_len,rec_rate,mut_rate,pop_num_ind,pop_num_sites,population_value,obs_num_ind,intended_obs_num_sites,actual_obs_num_sites,num_observations,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
8,1,3751350723,1000000000.0,1e-08,1e-08,1000,330815,0.12053868397856861,20,5000,5000,10,0,10,0,0,10,0,0,10,0,1,8,1,1,7,2
8,1,3751350723,1000000000.0,1e-08,1e-08,1000,330815,0.12053868397856861,20,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,3,4,3
8,1,3751350723,1000000000.0,1e-08,1e-08,1000,330815,0.12053868397856861,20,50000,50000,10,0,9,1,0,9,1,0,9,1,0,10,0,0,7,3
8,1,3751350723,1000000000.0,1e-08,1e-08,1000,330815,0.12053868397856861,50,5000,5000,10,0,10,0,0,10,0,0,10,0,2,3,5,2,3,5
8,1,3751350723,1000000000.0,1e-08,1e-08,1000,330815,0.12053868397856861,50,20000,20000,10,0,10,0,0,10,0,0,10,0,2,2,6,2,1,7
8,1,3751350723,1000000000.0,1e-08,1e-08,1000,330815,0.12053868397856861,50,50000,50000,10,0,10,0,0,10,0,0,10,0,2,7,1,3,6,1
8,1,3751350723,1000000000.0,1e-08,1e-08,1000,330815,0.12053868397856861,100,5000,5000,10,0,10,0,0,10,0,0,10,0,4,0,6,4,0,6
8,1,3751350723,1000000000.0,1e-08,1e-08,1000,330815,0.12053868397856861,100,20000,20000,10,0,10,0,0,10,0,0,10,0,5,0,5,5,0,5
8,1,3751350723,1000000000.0,1e-08,1e-08,1000,330815,0.12053868397856861,100,50000,50000,10,0,10,0,0,10,0,0,10,0,4,4,2,5,3,2
8,2,47736148,1000000000.0,1e-08,1e-08,1000,331402,0.12045343029720301,20,5000,5000,10,0,10,0,0,10,0,0,10,0,2,7,1,6,3,1
8,2,47736148,1000000000.0,1e-08,1e-08,1000,331402,0.12045343029720301,20,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,6,4,0
8,2,47736148,1000000000.0,1e-08,1e-08,1000,331402,0.12045343029720301,20,50000,50000,10,0,10,0,0,10,0,0,10,0,0,10,0,1,6,3
8,2,47736148,1000000000.0,1e-08,1e-08,1000,331402,0.12045343029720301,50,5000,5000,10,0,10,0,0,10,0,0,10,0,4,2,4,4,2,4
8,2,47736148,1000000000.0,1e-08,1e-08,1000,331402,0.12045343029720301,50,20000,20000,10,0,9,1,0,9,1,0,9,1,2,5,3,4,3,3
8,2,47736148,1000000000.0,1e-08,1e-08,1000,331402,0.12045343029720301,50,50000,50000,10,1,7,2,1,7,2,0,10,0,2,5,3,3,2,5
8,2,47736148,1000000000.0,1e-08,1e-08,1000,331402,0.12045343029720301,100,5000,5000,10,0,10,0,0,10,0,0,10,0,7,1,2,7,1,2
8,2,47736148,1000000000.0,1e-08,1e-08,1000,331402,0.12045343029720301,100,20000,20000,10,0,10,0,0,10,0,0,10,0,5,1,4,5,1,4
8,2,47736148,1000000000.0,1e-08,1e-08,1000,331402,0.12045343029720301,100,50000,50000,10,0,9,1,0,10,0,0,10,0,2,4,4,2,4,4
8,3,4159850481,1000000000.0,1e-08,1e-08,1000,328628,0.12119976375409731,20,5000,5000,10,0,9,1,0,9,1,0,9,1,3,5,2,3,3,4
8,3,4159850481,1000000000.0,1e-08,1e-08,1000,328628,0.12119976375409731,20,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,4,4,2
8,3,4159850481,1000000000.0,1e-08,1e-08,1000,328628,0.12119976375409731,20,50000,50000,10,0,10,0,0,10,0,0,10,0,0,10,0,1,5,4
8,3,4159850481,1000000000.0,1e-08,1e-08,1000,328628,0.12119976375409731,50,5000,5000,10,1,8,1,1,8,1,2,7,1,5,3,2,5,3,2
8,3,4159850481,1000000000.0,1e-08,1e-08,1000,328628,0.12119976375409731,50,20000,20000,10,0,10,0,0,10,0,0,10,0,4,4,2,4,4,2
8,3,4159850481,1000000000.0,1e-08,1e-08,1000,328628,0.12119976375409731,50,50000,50000,10,0,10,0,0,10,0,0,10,0,2,7,1,3,5,2
8,3,4159850481,1000000000.0,1e-08,1e-08,1000,328628,0.12119976375409731,100,5000,5000,10,0,10,0,0,10,0,0,10,0,6,0,4,6,0,4
8,3,4159850481,1000000000.0,1e-08,1e-08,1000,328628,0.12119976375409731,100,20000,20000,10,0,10,0,0,10,0,0,10,0,4,2,4,4,2,4
8,3,4159850481,1000000000.0,1e-08,1e-08,1000,328628,0.12119976375409731,100,50000,50000,10,0,10,0,0,10,0,0,10,0,3,6,1,4,3,3
8,4,1028385129,1000000000.0,1e-08,1e-08,1000,331344,0.1213989684780944,20,5000,5000,10,0,10,0,0,10,0,0,10,0,0,8,2,0,5,5
8,4,1028385129,1000000000.0,1e-08,1e-08,1000,331344,0.1213989684780944,20,20000,20000,10,0,10,0,0,10,0,0,10,0,1,9,0,4,6,0
8,4,1028385129,1000000000.0,1e-08,1e-08,1000,331344,0.1213989684780944,20,50000,50000,10,1,9,0,1,9,0,0,10,0,0,10,0,2,6,2
8,4,1028385129,1000000000.0,1e-08,1e-08,1000,331344,0.1213989684780944,50,5000,5000,10,1,9,0,1,9,0,1,9,0,8,2,0,8,2,0
8,4,1028385129,1000000000.0,1e-08,1e-08,1000,331344,0.1213989684780944,50,20000,20000,10,0,9,1,0,9,1,0,9,1,3,4,3,3,1,6
8,4,1028385129,1000000000.0,1e-08,1e-08,1000,331344,0.1213989684780944,50,50000,50000,10,1,8,1,1,8,1,0,10,0,4,5,1,5,2,3
8,4,1028385129,1000000000.0,1e-08,1e-08,1000,331344,0.1213989684780944,100,5000,5000,10,0,10,0,0,10,0,0,10,0,3,2,5,3,2,5
8,4,1028385129,1000000000.0,1e-08,1e-08,1000,331344,0.1213989684780944,100,20000,20000,10,0,10,0,0,10,0,0,10,0,5,3,2,5,3,2
8,4,1028385129,1000000000.0,1e-08,1e-08,1000,331344,0.1213989684780944,100,50000,50000,10,0,10,0,0,10,0,0,10,0,5,2,3,5,2,3
8,5,3733162117,1000000000.0,1e-08,1e-08,1000,334895,0.12091255051673705,20,5000,5000,10,0,10,0,0,10,0,0,10,0,3,4,3,3,3,4
8,5,3733162117,1000000000.0,1e-08,1e-08,1000,334895,0.12091255051673705,20,20000,20000,10,0,9,1,0,9,1,0,10,0,0,9,1,2,6,2
8,5,3733162117,1000000000.0,1e-08,1e-08,1000,334895,0.12091255051673705,20,50000,50000,10,0,10,0,0,10,0,0,10,0,0,10,0,3,6,1
8,5,3733162117,1000000000.0,1e-08,1e-08,1000,334895,0.12091255051673705,50,5000,5000,10,1,8,1,1,8,1,1,8,1,4,3,3,4,3,3
8,5,3733162117,1000000000.0,1e-08,1e-08,1000,334895,0.12091255051673705,50,20000,20000,10,0,10,0,0,10,0,0,10,0,6,2,2,6,2,2
8,5,3733162117,1000000000.0,1e-08,1e-08,1000,334895,0.12091255051673705,50,50000,50000,10,0,10,0,0,10,0,0,10,0,2,7,1,3,6,1
8,5,3733162117,1000000000.0,1e-08,1e-08,1000,334895,0.12091255051673705,100,5000,5000,10,0,9,1,0,9,1,0,9,1,2,4,4,2,4,4
8,5,3733162117,1000000000.0,1e-08,1e-08,1000,334895,0.12091255051673705,100,20000,20000,10,0,9,1,0,9,1,0,10,0,3,1,6,3,1,6
8,5,3733162117,1000000000.0,1e-08,1e-08,1000,334895,0.12091255051673705,100,50000,50000,10,0,10,0,0,10,0,0,10,0,6,4,0,8,1,1
8,6,1621423066,1000000000.0,1e-08,1e-08,1000,331157,0.12246766720206369,20,5000,5000,10,0,10,0,0,10,0,0,10,0,1,7,2,1,7,2
8,6,1621423066,1000000000.0,1e-08,1e-08,1000,331157,0.12246766720206369,20,20000,20000,10,1,8,1,1,8,1,0,10,0,1,7,2,3,2,5
8,6,1621423066,1000000000.0,1e-08,1e-08,1000,331157,0.12246766720206369,20,50000,50000,10,0,9,1,0,9,1,0,9,1,0,9,1,2,5,3
8,6,1621423066,1000000000.0,1e-08,1e-08,1000,331157,0.12246766720206369,50,5000,5000,10,0,10,0,0,10,0,0,10,0,4,4,2,4,4,2
8,6,1621423066,1000000000.0,1e-08,1e-08,1000,331157,0.12246766720206369,50,20000,20000,10,0,10,0,0,10,0,0,10,0,3,5,2,5,2,3
8,6,1621423066,1000000000.0,1e-08,1e-08,1000,331157,0.12246766720206369,50,50000,50000,10,0,9,1,0,9,1,0,9,1,1,6,3,3,4,3
8,6,1621423066,1000000000.0,1e-08,1e-08,1000,331157,0.12246766720206369,100,5000,5000,10,0,10,0,0,10,0,0,10,0,1,4,5,1,4,5
8,6,1621423066,1000000000.0,1e-08,1e-08,1000,331157,0.12246766720206369,100,20000,20000,10,0,10,0,0,10,0,0,10,0,4,2,4,4,1,5
8,6,1621423066,1000000000.0,1e-08,1e-08,1000,331157,0.12246766720206369,100,50000,50000,10,1,9,0,1,9,0,0,10,0,3,6,1,5,4,1
8,7,2280007816,1000000000.0,1e-08,1e-08,1000,330077,0.11999243332679223,20,5000,5000,10,0,10,0,0,10,0,0,10,0,0,7,3,1,5,4
8,7,2280007816,1000000000.0,1e-08,1e-08,1000,330077,0.11999243332679223,20,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,3,4,3
8,7,2280007816,1000000000.0,1e-08,1e-08,1000,330077,0.11999243332679223,20,50000,50000,10,1,8,1,1,8,1,0,9,1,0,9,1,2,3,5
8,7,2280007816,1000000000.0,1e-08,1e-08,1000,330077,0.11999243332679223,50,5000,5000,10,1,9,0,1,9,0,1,9,0,5,5,0,6,4,0
8,7,2280007816,1000000000.0,1e-08,1e-08,1000,330077,0.11999243332679223,50,20000,20000,10,1,9,0,0,10,0,0,10,0,3,5,2,4,2,4
8,7,2280007816,1000000000.0,1e-08,1e-08,1000,330077,0.11999243332679223,50,50000,50000,10,1,8,1,1,8,1,1,9,0,2,2,6,2,1,7
8,7,2280007816,1000000000.0,1e-08,1e-08,1000,330077,0.11999243332679223,100,5000,5000,10,0,9,1,0,9,1,1,7,2,4,0,6,4,0,6
8,7,2280007816,1000000000.0,1e-08,1e-08,1000,330077,0.11999243332679223,100,20000,20000,10,0,10,0,0,10,0,0,10,0,4,1,5,4,1,5
8,7,2280007816,1000000000.0,1e-08,1e-08,1000,330077,0.11999243332679223,100,50000,50000,10,0,10,0,0,10,0,0,10,0,0,3,7,1,2,7
8,8,3506674515,1000000000.0,1e-08,1e-08,1000,332907,0.12158793325026891,20,5000,5000,10,0,10,0,0,10,0,0,10,0,1,7,2,2,5,3
8,8,3506674515,1000000000.0,1e-08,1e-08,1000,332907,0.12158793325026891,20,20000,20000,10,0,9,1,0,9,1,0,9,1,0,9,1,2,5,3
8,8,3506674515,1000000000.0,1e-08,1e-08,1000,332907,0.12158793325026891,20,50000,50000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,7,3
8,8,3506674515,1000000000.0,1e-08,1e-08,1000,332907,0.12158793325026891,50,5000,5000,10,0,10,0,0,10,0,0,10,0,1,4,5,2,2,6
8,8,3506674515,1000000000.0,1e-08,1e-08,1000,332907,0.12158793325026891,50,20000,20000,10,0,9,1,0,9,1,0,9,1,3,3,4,4,2,4
8,8,3506674515,1000000000.0,1e-08,1e-08,1000,332907,0.12158793325026891,50,50000,50000,10,0,9,1,0,9,1,0,10,0,2,6,2,3,4,3
8,8,3506674515,1000000000.0,1e-08,1e-08,1000,332907,0.12158793325026891,100,5000,5000,10,0,10,0,0,10,0,0,10,0,5,3,2,5,3,2
8,8,3506674515,1000000000.0,1e-08,1e-08,1000,332907,0.12158793325026891,100,20000,20000,10,0,10,0,0,10,0,0,10,0,1,4,5,1,4,5
