exp_seed,experiment,tree_sequence_seed,seq_len,rec_rate,mut_rate,pop_num_ind,pop_num_sites,population_value,obs_num_ind,intended_obs_num_sites,actual_obs_num_sites,num_observations,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
8,1,3751350723,100000000.0,1e-08,1e-08,200,5268,0.1497944700399442,20,5000,5000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,1,3751350723,100000000.0,1e-08,1e-08,200,5268,0.1497944700399442,20,20000,5268,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,1,3751350723,100000000.0,1e-08,1e-08,200,5268,0.1497944700399442,20,50000,5268,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,1,3751350723,100000000.0,1e-08,1e-08,200,5268,0.1497944700399442,50,5000,5000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,1,3751350723,100000000.0,1e-08,1e-08,200,5268,0.1497944700399442,50,20000,5268,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,1,3751350723,100000000.0,1e-08,1e-08,200,5268,0.1497944700399442,50,50000,5268,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,1,3751350723,100000000.0,1e-08,1e-08,200,5268,0.1497944700399442,100,5000,5000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,1,3751350723,100000000.0,1e-08,1e-08,200,5268,0.1497944700399442,100,20000,5268,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,1,3751350723,100000000.0,1e-08,1e-08,200,5268,0.1497944700399442,100,50000,5268,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,2,47736148,100000000.0,1e-08,1e-08,200,5459,0.1424301824353887,20,5000,5000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,9,1
8,2,47736148,100000000.0,1e-08,1e-08,200,5459,0.1424301824353887,20,20000,5459,10,0,10,0,0,10,0,0,10,0,0,9,1,0,9,1
8,2,47736148,100000000.0,1e-08,1e-08,200,5459,0.1424301824353887,20,50000,5459,10,0,10,0,0,10,0,0,10,0,0,10,0,1,9,0
8,2,47736148,100000000.0,1e-08,1e-08,200,5459,0.1424301824353887,50,5000,5000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,2,47736148,100000000.0,1e-08,1e-08,200,5459,0.1424301824353887,50,20000,5459,10,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
8,2,47736148,100000000.0,1e-08,1e-08,200,5459,0.1424301824353887,50,50000,5459,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,2,47736148,100000000.0,1e-08,1e-08,200,5459,0.1424301824353887,100,5000,5000,10,0,10,0,0,10,0,0,10,0,2,6,2,2,6,2
8,2,47736148,100000000.0,1e-08,1e-08,200,5459,0.1424301824353887,100,20000,5459,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,2,47736148,100000000.0,1e-08,1e-08,200,5459,0.1424301824353887,100,50000,5459,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,3,4159850481,100000000.0,1e-08,1e-08,200,5202,0.14949631865129953,20,5000,5000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,3,4159850481,100000000.0,1e-08,1e-08,200,5202,0.14949631865129953,20,20000,5202,10,0,10,0,0,10,0,0,10,0,1,9,0,2,8,0
8,3,4159850481,100000000.0,1e-08,1e-08,200,5202,0.14949631865129953,20,50000,5202,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,3,4159850481,100000000.0,1e-08,1e-08,200,5202,0.14949631865129953,50,5000,5000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
8,3,4159850481,100000000.0,1e-08,1e-08,200,5202,0.14949631865129953,50,20000,5202,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
