exp_seed,experiment,tree_sequence_seed,seq_len,rec_rate,mut_rate,pop_num_ind,pop_num_sites,population_value,obs_num_ind,intended_obs_num_sites,actual_obs_num_sites,num_observations,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
9,1,44556670,100000000.0,1e-08,1e-08,1000,21472,0.026363958998805774,20,5000,5000,10,2,5,3,2,5,3,0,9,1,0,10,0,0,10,0
9,1,44556670,100000000.0,1e-08,1e-08,1000,21472,0.026363958998805774,20,20000,20000,10,2,3,5,2,3,5,0,10,0,0,10,0,0,10,0
9,1,44556670,100000000.0,1e-08,1e-08,1000,21472,0.026363958998805774,20,50000,21472,10,4,3,3,4,3,3,1,9,0,0,10,0,0,10,0
9,1,44556670,100000000.0,1e-08,1e-08,1000,21472,0.026363958998805774,50,5000,5000,10,2,7,1,2,7,1,0,9,1,0,9,1,0,9,1
9,1,44556670,100000000.0,1e-08,1e-08,1000,21472,0.026363958998805774,50,20000,20000,10,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
9,1,44556670,100000000.0,1e-08,1e-08,1000,21472,0.026363958998805774,50,50000,21472,10,2,5,3,2,5,3,0,10,0,0,10,0,0,10,0
9,1,44556670,100000000.0,1e-08,1e-08,1000,21472,0.026363958998805774,100,5000,5000,10,0,8,2,0,8,2,0,10,0,0,9,1,0,9,1
9,1,44556670,100000000.0,1e-08,1e-08,1000,21472,0.026363958998805774,100,20000,20000,10,3,6,1,3,6,1,0,10,0,0,10,0,0,10,0
9,1,44556670,100000000.0,1e-08,1e-08,1000,21472,0.026363958998805774,100,50000,21472,10,1,7,2,1,7,2,0,10,0,0,10,0,0,10,0
9,2,1565348188,100000000.0,1e-08,1e-08,1000,22244,0.02680595965659894,20,5000,5000,10,3,6,1,3,6,1,0,10,0,0,10,0,0,10,0
9,2,1565348188,100000000.0,1e-08,1e-08,1000,22244,0.02680595965659894,20,20000,20000,10,5,2,3,5,2,3,0,10,0,0,10,0,0,10,0
9,2,1565348188,100000000.0,1e-08,1e-08,1000,22244,0.02680595965659894,20,50000,22244,10,3,3,4,3,3,4,0,10,0,0,10,0,0,10,0
9,2,1565348188,100000000.0,1e-08,1e-08,1000,22244,0.02680595965659894,50,5000,5000,10,2,6,2,2,6,2,0,9,1,0,10,0,0,9,1
9,2,1565348188,100000000.0,1e-08,1e-08,1000,22244,0.02680595965659894,50,20000,20000,10,5,5,0,5,5,0,0,10,0,0,10,0,0,10,0
9,2,1565348188,100000000.0,1e-08,1e-08,1000,22244,0.02680595965659894,50,50000,22244,10,2,2,6,2,2,6,0,9,1,0,10,0,0,9,1
9,2,1565348188,100000000.0,1e-08,1e-08,1000,22244,0.02680595965659894,100,5000,5000,10,0,8,2,0,8,2,0,10,0,0,9,1,0,9,1
9,2,1565348188,100000000.0,1e-08,1e-08,1000,22244,0.02680595965659894,100,20000,20000,10,4,5,1,4,5,1,0,10,0,0,10,0,0,10,0
9,2,1565348188,100000000.0,1e-08,1e-08,1000,22244,0.02680595965659894,100,50000,22244,10,1,4,5,1,5,4,0,10,0,0,10,0,0,10,0
9,3,2155534974,100000000.0,1e-08,1e-08,1000,23104,0.02613846795196328,20,5000,5000,10,2,4,4,2,4,4,0,9,1,0,10,0,0,9,1
9,3,2155534974,100000000.0,1e-08,1e-08,1000,23104,0.02613846795196328,20,20000,20000,10,7,2,1,7,2,1,0,10,0,0,10,0,0,10,0
9,3,2155534974,100000000.0,1e-08,1e-08,1000,23104,0.02613846795196328,20,50000,23104,10,3,2,5,3,2,5,0,9,1,0,10,0,0,10,0
9,3,2155534974,100000000.0,1e-08,1e-08,1000,23104,0.02613846795196328,50,5000,5000,10,0,9,1,0,9,1,0,10,0,0,10,0,0,10,0
9,3,2155534974,100000000.0,1e-08,1e-08,1000,23104,0.02613846795196328,50,20000,20000,10,2,3,5,2,3,5,0,10,0,0,10,0,0,10,0
9,3,2155534974,100000000.0,1e-08,1e-08,1000,23104,0.02613846795196328,50,50000,23104,10,4,6,0,4,6,0,0,10,0,0,10,0,0,10,0
9,3,2155534974,100000000.0,1e-08,1e-08,1000,23104,0.02613846795196328,100,5000,5000,10,0,8,2,0,8,2,0,10,0,0,9,1,0,9,1
9,3,2155534974,100000000.0,1e-08,1e-08,1000,23104,0.02613846795196328,100,20000,20000,10,2,8,0,2,7,1,0,10,0,0,10,0,0,10,0
9,3,2155534974,100000000.0,1e-08,1e-08,1000,23104,0.02613846795196328,100,50000,23104,10,0,6,4,0,6,4,0,10,0,0,10,0,0,10,0
9,4,2143748597,100000000.0,1e-08,1e-08,1000,21459,0.026934613092792617,20,5000,5000,10,1,6,3,1,6,3,0,9,1,0,10,0,0,8,2
9,4,2143748597,100000000.0,1e-08,1e-08,1000,21459,0.026934613092792617,20,20000,20000,10,3,2,5,3,2,5,1,7,2,0,10,0,0,10,0
9,4,2143748597,100000000.0,1e-08,1e-08,1000,21459,0.026934613092792617,20,50000,21459,10,7,2,1,7,2,1,0,10,0,0,10,0,0,10,0
9,4,2143748597,100000000.0,1e-08,1e-08,1000,21459,0.026934613092792617,50,5000,5000,10,1,8,1,1,8,1,0,10,0,0,10,0,0,9,1
