exp_seed,experiment,tree_sequence_seed,seq_len,rec_rate,mut_rate,pop_num_ind,pop_num_sites,population_value,obs_num_ind,intended_obs_num_sites,actual_obs_num_sites,num_observations,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
8,1,3751350723,1000000000.0,1e-08,1e-08,5000,1979149,0.10105641798571002,20,5000,5000,10,0,10,0,0,10,0,0,10,0,2,6,2,1,7,2
8,1,3751350723,1000000000.0,1e-08,1e-08,5000,1979149,0.10105641798571002,20,20000,20000,10,1,9,0,1,9,0,1,9,0,3,6,1,3,6,1
8,1,3751350723,1000000000.0,1e-08,1e-08,5000,1979149,0.10105641798571002,20,50000,50000,10,1,9,0,1,9,0,1,9,0,2,7,1,2,7,1
8,1,3751350723,1000000000.0,1e-08,1e-08,5000,1979149,0.10105641798571002,50,5000,5000,10,0,9,1,0,9,1,0,9,1,5,3,2,5,3,2
8,1,3751350723,1000000000.0,1e-08,1e-08,5000,1979149,0.10105641798571002,50,20000,20000,10,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
8,1,3751350723,1000000000.0,1e-08,1e-08,5000,1979149,0.10105641798571002,50,50000,50000,10,0,10,0,0,10,0,0,10,0,4,4,2,4,4,2
8,1,3751350723,1000000000.0,1e-08,1e-08,5000,1979149,0.10105641798571002,100,5000,5000,10,0,10,0,0,10,0,0,10,0,2,6,2,3,5,2
8,1,3751350723,1000000000.0,1e-08,1e-08,5000,1979149,0.10105641798571002,100,20000,20000,10,0,10,0,0,10,0,0,10,0,2,2,6,2,2,6
8,1,3751350723,1000000000.0,1e-08,1e-08,5000,1979149,0.10105641798571002,100,50000,50000,10,0,10,0,0,10,0,0,10,0,3,3,4,3,3,4
8,2,47736148,1000000000.0,1e-08,1e-08,5000,1978458,0.10106068089390828,20,5000,5000,10,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
8,2,47736148,1000000000.0,1e-08,1e-08,5000,1978458,0.10106068089390828,20,20000,20000,10,1,7,2,1,7,2,1,7,2,5,3,2,5,3,2
8,2,47736148,1000000000.0,1e-08,1e-08,5000,1978458,0.10106068089390828,20,50000,50000,10,0,10,0,0,10,0,0,10,0,1,7,2,1,7,2
8,2,47736148,1000000000.0,1e-08,1e-08,5000,1978458,0.10106068089390828,50,5000,5000,10,0,10,0,0,10,0,0,10,0,6,2,2,6,2,2
8,2,47736148,1000000000.0,1e-08,1e-08,5000,1978458,0.10106068089390828,50,20000,20000,10,0,10,0,0,10,0,0,10,0,2,6,2,2,6,2
8,2,47736148,1000000000.0,1e-08,1e-08,5000,1978458,0.10106068089390828,50,50000,50000,10,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
8,2,47736148,1000000000.0,1e-08,1e-08,5000,1978458,0.10106068089390828,100,5000,5000,10,0,10,0,0,10,0,0,10,0,1,4,5,1,4,5
8,2,47736148,1000000000.0,1e-08,1e-08,5000,1978458,0.10106068089390828,100,20000,20000,10,0,10,0,0,10,0,0,10,0,2,4,4,2,4,4
8,2,47736148,1000000000.0,1e-08,1e-08,5000,1978458,0.10106068089390828,100,50000,50000,10,0,10,0,0,10,0,0,10,0,5,3,2,5,3,2
8,3,4159850481,1000000000.0,1e-08,1e-08,5000,1974804,0.10118369954689174,20,5000,5000,10,0,9,1,0,9,1,0,9,1,2,4,4,2,4,4
8,3,4159850481,1000000000.0,1e-08,1e-08,5000,1974804,0.10118369954689174,20,20000,20000,10,0,8,2,1,8,1,0,9,1,2,3,5,2,3,5
8,3,4159850481,1000000000.0,1e-08,1e-08,5000,1974804,0.10118369954689174,20,50000,50000,10,0,10,0,0,10,0,0,10,0,2,6,2,2,6,2
8,3,4159850481,1000000000.0,1e-08,1e-08,5000,1974804,0.10118369954689174,50,5000,5000,10,0,10,0,0,10,0,0,10,0,1,7,2,1,7,2
8,3,4159850481,1000000000.0,1e-08,1e-08,5000,1974804,0.10118369954689174,50,20000,20000,10,0,10,0,0,10,0,0,10,0,2,3,5,1,3,6
8,3,4159850481,1000000000.0,1e-08,1e-08,5000,1974804,0.10118369954689174,50,50000,50000,10,0,10,0,0,10,0,0,10,0,0,8,2,0,8,2
8,3,4159850481,1000000000.0,1e-08,1e-08,5000,1974804,0.10118369954689174,100,5000,5000,10,1,8,1,1,8,1,1,8,1,2,3,5,2,3,5
8,3,4159850481,1000000000.0,1e-08,1e-08,5000,1974804,0.10118369954689174,100,20000,20000,10,2,8,0,2,8,0,2,8,0,6,3,1,6,3,1
