experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
0,50,5000,10,100000000.0,1e-08,1e-08,0.14699703407413453,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
0,50,5158,10,100000000.0,1e-08,1e-08,0.14699703407413453,0,10,0,0,10,0,0,10,0,0,9,1,0,9,1
0,50,5158,10,100000000.0,1e-08,1e-08,0.14699703407413453,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
1,50,5000,10,100000000.0,1e-08,1e-08,0.14786263787811776,0,10,0,0,10,0,0,10,0,1,9,0,2,8,0
1,50,5423,10,100000000.0,1e-08,1e-08,0.14786263787811776,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
1,50,5423,10,100000000.0,1e-08,1e-08,0.14786263787811776,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
2,50,5000,10,100000000.0,1e-08,1e-08,0.14787344690503787,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
2,50,5268,10,100000000.0,1e-08,1e-08,0.14787344690503787,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
2,50,5268,10,100000000.0,1e-08,1e-08,0.14787344690503787,0,10,0,0,10,0,0,10,0,0,9,1,0,9,1
3,50,5000,10,100000000.0,1e-08,1e-08,0.14510382933426208,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
3,50,5354,10,100000000.0,1e-08,1e-08,0.14510382933426208,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
3,50,5354,10,100000000.0,1e-08,1e-08,0.14510382933426208,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
4,50,5000,10,100000000.0,1e-08,1e-08,0.15363502570763424,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
4,50,5343,10,100000000.0,1e-08,1e-08,0.15363502570763424,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
4,50,5343,10,100000000.0,1e-08,1e-08,0.15363502570763424,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
