experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
0,50,5000,10,1000000000.0,1e-08,1e-08,0.12038014189931391,0,9,1,0,9,1,0,9,1,1,4,5,1,4,5
0,50,20000,10,1000000000.0,1e-08,1e-08,0.12038014189931391,0,10,0,0,9,1,0,10,0,3,5,2,3,5,2
0,50,50000,10,1000000000.0,1e-08,1e-08,0.12038014189931391,1,9,0,1,9,0,0,10,0,1,4,5,1,4,5
1,50,5000,10,1000000000.0,1e-08,1e-08,0.1207925435232879,0,10,0,0,10,0,0,10,0,1,7,2,1,7,2
1,50,20000,10,1000000000.0,1e-08,1e-08,0.1207925435232879,0,10,0,0,10,0,0,9,1,4,4,2,4,4,2
1,50,50000,10,1000000000.0,1e-08,1e-08,0.1207925435232879,0,10,0,0,10,0,0,10,0,1,8,1,1,8,1
2,50,5000,10,1000000000.0,1e-08,1e-08,0.1220927724166269,0,10,0,0,10,0,0,10,0,1,5,4,1,5,4
2,50,20000,10,1000000000.0,1e-08,1e-08,0.1220927724166269,0,9,1,0,9,1,0,9,1,2,5,3,2,5,3
2,50,50000,10,1000000000.0,1e-08,1e-08,0.1220927724166269,2,8,0,2,8,0,1,9,0,3,7,0,3,7,0
3,50,5000,10,1000000000.0,1e-08,1e-08,0.12127758488524147,0,9,1,0,9,1,0,10,0,6,3,1,6,3,1
3,50,20000,10,1000000000.0,1e-08,1e-08,0.12127758488524147,0,10,0,0,10,0,0,10,0,1,7,2,1,6,3
3,50,50000,10,1000000000.0,1e-08,1e-08,0.12127758488524147,0,9,1,0,9,1,0,9,1,3,4,3,3,4,3
4,50,5000,10,1000000000.0,1e-08,1e-08,0.11977217369468908,0,10,0,0,10,0,0,10,0,3,3,4,3,3,4
4,50,20000,10,1000000000.0,1e-08,1e-08,0.11977217369468908,0,9,1,1,8,1,1,8,1,1,5,4,1,5,4
4,50,50000,10,1000000000.0,1e-08,1e-08,0.11977217369468908,0,10,0,0,10,0,0,10,0,2,5,3,2,5,3
5,50,5000,10,1000000000.0,1e-08,1e-08,0.12092684671524034,1,9,0,1,9,0,1,9,0,5,1,4,4,2,4
5,50,20000,10,1000000000.0,1e-08,1e-08,0.12092684671524034,0,9,1,0,9,1,0,10,0,2,8,0,2,8,0
5,50,50000,10,1000000000.0,1e-08,1e-08,0.12092684671524034,0,10,0,0,10,0,0,10,0,3,7,0,2,8,0
6,50,5000,10,1000000000.0,1e-08,1e-08,0.12126164132335795,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
6,50,20000,10,1000000000.0,1e-08,1e-08,0.12126164132335795,0,10,0,0,10,0,0,10,0,3,6,1,3,6,1
6,50,50000,10,1000000000.0,1e-08,1e-08,0.12126164132335795,0,10,0,0,10,0,0,10,0,2,8,0,2,8,0
7,50,5000,10,1000000000.0,1e-08,1e-08,0.12111259722609846,2,8,0,2,8,0,2,8,0,4,3,3,4,3,3
7,50,20000,10,1000000000.0,1e-08,1e-08,0.12111259722609846,0,10,0,0,10,0,0,10,0,3,7,0,2,8,0
7,50,50000,10,1000000000.0,1e-08,1e-08,0.12111259722609846,0,9,1,0,9,1,0,9,1,0,10,0,0,10,0
8,50,5000,10,1000000000.0,1e-08,1e-08,0.12067060590705082,0,10,0,0,10,0,0,10,0,3,3,4,3,3,4
8,50,20000,10,1000000000.0,1e-08,1e-08,0.12067060590705082,1,9,0,1,9,0,1,9,0,1,7,2,1,7,2
8,50,50000,10,1000000000.0,1e-08,1e-08,0.12067060590705082,0,10,0,0,10,0,0,10,0,2,6,2,2,6,2
9,50,5000,10,1000000000.0,1e-08,1e-08,0.12136573379826195,0,10,0,0,10,0,0,10,0,1,5,4,1,5,4
9,50,20000,10,1000000000.0,1e-08,1e-08,0.12136573379826195,0,10,0,0,10,0,0,10,0,2,6,2,2,6,2
9,50,50000,10,1000000000.0,1e-08,1e-08,0.12136573379826195,0,10,0,0,10,0,0,10,0,1,8,1,1,8,1
10,50,5000,10,1000000000.0,1e-08,1e-08,0.12170171339798341,0,9,1,0,9,1,0,9,1,6,1,3,6,1,3
10,50,20000,10,1000000000.0,1e-08,1e-08,0.12170171339798341,1,8,1,1,8,1,0,9,1,2,2,6,2,2,6
10,50,50000,10,1000000000.0,1e-08,1e-08,0.12170171339798341,0,10,0,0,10,0,0,10,0,2,6,2,2,6,2
11,50,5000,10,1000000000.0,1e-08,1e-08,0.12121567354007687,0,10,0,0,10,0,0,10,0,1,8,1,1,8,1
11,50,20000,10,1000000000.0,1e-08,1e-08,0.12121567354007687,0,10,0,0,10,0,0,10,0,4,4,2,4,5,1
11,50,50000,10,1000000000.0,1e-08,1e-08,0.12121567354007687,1,8,1,1,7,2,0,9,1,2,5,3,2,6,2
12,50,5000,10,1000000000.0,1e-08,1e-08,0.12100178904346412,3,7,0,3,7,0,2,8,0,5,3,2,5,3,2
12,50,20000,10,1000000000.0,1e-08,1e-08,0.12100178904346412,0,10,0,0,10,0,0,10,0,3,5,2,3,5,2
12,50,50000,10,1000000000.0,1e-08,1e-08,0.12100178904346412,1,8,1,1,8,1,1,8,1,1,8,1,1,8,1
13,50,5000,10,1000000000.0,1e-08,1e-08,0.12041877446077415,0,10,0,0,10,0,0,10,0,2,5,3,2,5,3
13,50,20000,10,1000000000.0,1e-08,1e-08,0.12041877446077415,0,9,1,0,9,1,0,9,1,4,5,1,3,6,1
13,50,50000,10,1000000000.0,1e-08,1e-08,0.12041877446077415,1,9,0,1,9,0,0,10,0,2,7,1,2,7,1
14,50,5000,10,1000000000.0,1e-08,1e-08,0.12163993735411854,0,10,0,0,10,0,0,10,0,4,4,2,4,4,2
14,50,20000,10,1000000000.0,1e-08,1e-08,0.12163993735411854,0,10,0,0,10,0,0,10,0,6,2,2,6,2,2
14,50,50000,10,1000000000.0,1e-08,1e-08,0.12163993735411854,0,10,0,0,10,0,0,10,0,2,7,1,2,7,1
15,50,5000,10,1000000000.0,1e-08,1e-08,0.11968144764114742,2,8,0,2,8,0,2,8,0,3,4,3,3,4,3
15,50,20000,10,1000000000.0,1e-08,1e-08,0.11968144764114742,0,9,1,0,9,1,0,10,0,3,4,3,3,4,3
15,50,50000,10,1000000000.0,1e-08,1e-08,0.11968144764114742,0,8,2,0,8,2,0,9,1,1,7,2,1,7,2
16,50,5000,10,1000000000.0,1e-08,1e-08,0.11984036672794952,0,9,1,0,10,0,0,9,1,4,4,2,4,3,3
16,50,20000,10,1000000000.0,1e-08,1e-08,0.11984036672794952,1,9,0,1,9,0,1,9,0,5,3,2,5,3,2
16,50,50000,10,1000000000.0,1e-08,1e-08,0.11984036672794952,0,9,1,0,10,0,0,10,0,1,6,3,1,6,3
17,50,5000,10,1000000000.0,1e-08,1e-08,0.12112585391327581,3,7,0,3,7,0,2,8,0,6,2,2,6,2,2
17,50,20000,10,1000000000.0,1e-08,1e-08,0.12112585391327581,1,9,0,1,9,0,0,10,0,3,4,3,3,4,3
17,50,50000,10,1000000000.0,1e-08,1e-08,0.12112585391327581,0,9,1,0,9,1,0,9,1,2,7,1,2,7,1
18,50,5000,10,1000000000.0,1e-08,1e-08,0.12054180259842162,0,10,0,0,10,0,0,10,0,4,4,2,4,4,2
18,50,20000,10,1000000000.0,1e-08,1e-08,0.12054180259842162,0,10,0,0,10,0,0,10,0,1,5,4,1,5,4
18,50,50000,10,1000000000.0,1e-08,1e-08,0.12054180259842162,1,9,0,1,9,0,0,10,0,2,8,0,2,8,0
19,50,5000,10,1000000000.0,1e-08,1e-08,0.1194735548591633,0,10,0,0,10,0,0,10,0,1,4,5,1,4,5
19,50,20000,10,1000000000.0,1e-08,1e-08,0.1194735548591633,0,10,0,0,10,0,0,10,0,3,5,2,3,5,2
19,50,50000,10,1000000000.0,1e-08,1e-08,0.1194735548591633,1,9,0,1,9,0,0,10,0,2,8,0,2,8,0
20,50,5000,10,1000000000.0,1e-08,1e-08,0.11998024390095478,0,10,0,0,10,0,0,10,0,2,6,2,2,6,2
20,50,20000,10,1000000000.0,1e-08,1e-08,0.11998024390095478,1,8,1,1,8,1,1,9,0,1,8,1,1,8,1
20,50,50000,10,1000000000.0,1e-08,1e-08,0.11998024390095478,1,8,1,1,8,1,0,10,0,2,8,0,2,8,0
21,50,5000,10,1000000000.0,1e-08,1e-08,0.12149901494329512,0,10,0,1,9,0,0,10,0,5,4,1,5,4,1
21,50,20000,10,1000000000.0,1e-08,1e-08,0.12149901494329512,0,10,0,0,10,0,0,10,0,2,7,1,2,7,1
21,50,50000,10,1000000000.0,1e-08,1e-08,0.12149901494329512,0,10,0,0,10,0,0,10,0,2,3,5,2,3,5
22,50,5000,10,1000000000.0,1e-08,1e-08,0.12124702774904945,0,10,0,0,10,0,0,10,0,2,6,2,2,6,2
22,50,20000,10,1000000000.0,1e-08,1e-08,0.12124702774904945,0,10,0,0,10,0,0,10,0,2,4,4,2,4,4
22,50,50000,10,1000000000.0,1e-08,1e-08,0.12124702774904945,0,10,0,0,10,0,0,10,0,5,4,1,5,4,1
23,50,5000,10,1000000000.0,1e-08,1e-08,0.119595704217474,1,8,1,1,8,1,1,8,1,2,4,4,2,4,4
23,50,20000,10,1000000000.0,1e-08,1e-08,0.119595704217474,2,7,1,2,7,1,1,9,0,2,5,3,2,5,3
23,50,50000,10,1000000000.0,1e-08,1e-08,0.119595704217474,0,10,0,0,10,0,0,10,0,3,5,2,3,5,2
24,50,5000,10,1000000000.0,1e-08,1e-08,0.1217459643496035,0,10,0,0,10,0,0,10,0,2,4,4,2,4,4
24,50,20000,10,1000000000.0,1e-08,1e-08,0.1217459643496035,2,8,0,1,9,0,1,9,0,4,3,3,4,3,3
24,50,50000,10,1000000000.0,1e-08,1e-08,0.1217459643496035,0,10,0,0,10,0,0,10,0,1,8,1,1,8,1
25,50,5000,10,1000000000.0,1e-08,1e-08,0.11980342923621284,0,10,0,0,10,0,0,10,0,2,5,3,2,5,3
25,50,20000,10,1000000000.0,1e-08,1e-08,0.11980342923621284,0,10,0,0,10,0,0,10,0,3,6,1,3,6,1
25,50,50000,10,1000000000.0,1e-08,1e-08,0.11980342923621284,1,9,0,1,9,0,0,10,0,3,6,1,3,6,1
26,50,5000,10,1000000000.0,1e-08,1e-08,0.12099154241869386,1,8,1,0,9,1,0,9,1,2,3,5,2,3,5
26,50,20000,10,1000000000.0,1e-08,1e-08,0.12099154241869386,1,9,0,1,9,0,0,10,0,1,7,2,1,7,2
26,50,50000,10,1000000000.0,1e-08,1e-08,0.12099154241869386,0,9,1,0,9,1,0,10,0,2,6,2,2,6,2
27,50,5000,10,1000000000.0,1e-08,1e-08,0.11997951316557268,0,8,2,0,8,2,0,8,2,3,2,5,3,3,4
27,50,20000,10,1000000000.0,1e-08,1e-08,0.11997951316557268,0,8,2,0,8,2,0,8,2,0,5,5,0,6,4
