experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
0,50,5000,10,1000000000.0,1e-08,1e-08,0.02346632939903051,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,9.0,1.0
0,50,20000,10,1000000000.0,1e-08,1e-08,0.02346632939903051,1.0,7.0,2.0,1.0,7.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
0,50,50000,10,1000000000.0,1e-08,1e-08,0.02346632939903051,1.0,7.0,2.0,1.0,7.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
0,50,200000,10,1000000000.0,1e-08,1e-08,0.02346632939903051,3.0,3.0,4.0,3.0,3.0,4.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
1,50,5000,10,1000000000.0,1e-08,1e-08,0.02430828318792577,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
1,50,20000,10,1000000000.0,1e-08,1e-08,0.02430828318792577,2.0,8.0,0.0,2.0,8.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,1.0,9.0,0.0
1,50,50000,10,1000000000.0,1e-08,1e-08,0.02430828318792577,3.0,6.0,1.0,3.0,6.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
1,50,200000,10,1000000000.0,1e-08,1e-08,0.02430828318792577,4.0,4.0,2.0,4.0,4.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
2,50,5000,10,1000000000.0,1e-08,1e-08,0.02448800636920592,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
2,50,20000,10,1000000000.0,1e-08,1e-08,0.02448800636920592,0.0,9.0,1.0,0.0,9.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,9.0,1.0
2,50,50000,10,1000000000.0,1e-08,1e-08,0.02448800636920592,0.0,8.0,2.0,0.0,8.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
2,50,200000,10,1000000000.0,1e-08,1e-08,0.02448800636920592,0.0,7.0,3.0,0.0,7.0,3.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,9.0,1.0
3,50,5000,10,1000000000.0,1e-08,1e-08,0.024550174921792373,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
3,50,20000,10,1000000000.0,1e-08,1e-08,0.024550174921792373,1.0,8.0,1.0,1.0,8.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,9.0,1.0
3,50,50000,10,1000000000.0,1e-08,1e-08,0.024550174921792373,1.0,8.0,1.0,1.0,8.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
3,50,200000,10,1000000000.0,1e-08,1e-08,0.024550174921792373,1.0,5.0,4.0,1.0,5.0,4.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
4,50,5000,10,1000000000.0,1e-08,1e-08,0.024353819492888278,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
4,50,20000,10,1000000000.0,1e-08,1e-08,0.024353819492888278,1.0,8.0,1.0,1.0,8.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
4,50,50000,10,1000000000.0,1e-08,1e-08,0.024353819492888278,1.0,8.0,1.0,1.0,8.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
4,50,200000,10,1000000000.0,1e-08,1e-08,0.024353819492888278,1.0,7.0,2.0,1.0,7.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
5,50,5000,10,1000000000.0,1e-08,1e-08,0.02456886612008732,0.0,9.0,1.0,0.0,9.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,9.0,1.0
5,50,20000,10,1000000000.0,1e-08,1e-08,0.02456886612008732,0.0,8.0,2.0,0.0,8.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
5,50,50000,10,1000000000.0,1e-08,1e-08,0.02456886612008732,1.0,7.0,2.0,1.0,7.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
5,50,200000,10,1000000000.0,1e-08,1e-08,0.02456886612008732,3.0,5.0,2.0,3.0,5.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
6,50,5000,10,1000000000.0,1e-08,1e-08,0.024315050509397102,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
6,50,20000,10,1000000000.0,1e-08,1e-08,0.024315050509397102,1.0,9.0,0.0,1.0,9.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
6,50,50000,10,1000000000.0,1e-08,1e-08,0.024315050509397102,1.0,8.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
6,50,200000,10,1000000000.0,1e-08,1e-08,0.024315050509397102,3.0,4.0,3.0,3.0,4.0,3.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,9.0,1.0
7,50,5000,10,1000000000.0,1e-08,1e-08,0.02343008223302887,1.0,9.0,0.0,1.0,9.0,0.0,1.0,9.0,0.0,0.0,10.0,0.0,1.0,9.0,0.0
7,50,20000,10,1000000000.0,1e-08,1e-08,0.02343008223302887,1.0,8.0,1.0,1.0,8.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
7,50,50000,10,1000000000.0,1e-08,1e-08,0.02343008223302887,1.0,6.0,3.0,1.0,6.0,3.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,9.0,1.0
7,50,200000,10,1000000000.0,1e-08,1e-08,0.02343008223302887,3.0,4.0,3.0,3.0,4.0,3.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,9.0,1.0
8,50,5000,10,1000000000.0,1e-08,1e-08,0.02352243353901665,1.0,9.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,1.0,9.0,0.0
8,50,20000,10,1000000000.0,1e-08,1e-08,0.02352243353901665,0.0,9.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
8,50,50000,10,1000000000.0,1e-08,1e-08,0.02352243353901665,1.0,9.0,0.0,1.0,9.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
8,50,200000,10,1000000000.0,1e-08,1e-08,0.02352243353901665,1.0,6.0,3.0,1.0,6.0,3.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
9,50,5000,10,1000000000.0,1e-08,1e-08,0.024291054088771368,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
9,50,20000,10,1000000000.0,1e-08,1e-08,0.024291054088771368,2.0,7.0,1.0,2.0,7.0,1.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,9.0,1.0
9,50,50000,10,1000000000.0,1e-08,1e-08,0.024291054088771368,4.0,4.0,2.0,4.0,4.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,1.0,9.0,0.0
9,50,200000,10,1000000000.0,1e-08,1e-08,0.024291054088771368,3.0,5.0,2.0,3.0,5.0,2.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
10,50,5000,10,1000000000.0,1e-08,1e-08,0.024917826697024935,2.0,8.0,0.0,2.0,8.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,1.0,9.0,0.0
10,50,20000,10,1000000000.0,1e-08,1e-08,0.024917826697024935,1.0,9.0,0.0,1.0,9.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,1.0,9.0,0.0
10,50,50000,10,1000000000.0,1e-08,1e-08,0.024917826697024935,2.0,8.0,0.0,2.0,8.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
10,50,200000,10,1000000000.0,1e-08,1e-08,0.024917826697024935,2.0,5.0,3.0,2.0,5.0,3.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
11,50,5000,10,1000000000.0,1e-08,1e-08,0.02444905389006637,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
